Feature Setting,Model,Accuracy,Precision,Recall,F1-score
Setting A: Background-only,Gaussian Naive Bayes,0.3953168044077135,0.3900709219858156,0.9683098591549296,0.5561172901921132
Setting A: Background-only,XGBoost,0.7052341597796143,0.6232394366197183,0.6232394366197183,0.6232394366197183
Setting B: Background + Application-related,Gaussian Naive Bayes,0.39944903581267216,0.38953488372093026,0.9436619718309859,0.551440329218107
Setting B: Background + Application-related,XGBoost,0.7451790633608816,0.6736842105263158,0.676056338028169,0.6748681898066784
